"","dispersionconsumer","date","cage","herbivory","coral","treatment","is.neg","Samples"
"B1_2x2_A8",0.832445609847979,"Jul22","B1","2x2","A8","Enriched",FALSE,"B1_2x2_A8"
"B1_1x1_A1",0.824413079534383,"Jul22","B1","1x1","A1","Enriched",FALSE,"B1_1x1_A1"
"B2_1x1_A4",0.157450480187644,"Jul22","B2","1x1","A4","Ambient",FALSE,"B2_1x1_A4"
"B2_1x1_A15",0.668817315216479,"Jul22","B2","1x1","A15","Ambient",FALSE,"B2_1x1_A15"
"B2_1x1_A9",0.567433837175638,"Jul22","B2","1x1","A9","Ambient",FALSE,"B2_1x1_A9"
"B2_1x1_A8",0.0206164763100492,"Jul22","B2","1x1","A8","Ambient",FALSE,"B2_1x1_A8"
"B2_1x1_A7",0.713269268237253,"Jul22","B2","1x1","A7","Ambient",FALSE,"B2_1x1_A7"
"B2_3x3_A6_1",0.212847968284914,"Jul22","B2","3x3","A6_1","Ambient",FALSE,"B2_3x3_A6_1"
"B2_1x1_A2",0.0167563184835334,"Jul22","B2","1x1","A2","Ambient",FALSE,"B2_1x1_A2"
"B2_1x1_A3",0.898248036260118,"Jul22","B2","1x1","A3","Ambient",FALSE,"B2_1x1_A3"
"C2_3x3_A10",0.0433906678535445,"Jul22","C2","3x3","A10","Ambient",FALSE,"C2_3x3_A10"
"C2_3x3_A11",0.0318323931838859,"Jul22","C2","3x3","A11","Ambient",FALSE,"C2_3x3_A11"
"B2_Open_A1",0.0320827498242025,"Jul22","B2","Open","A1","Ambient",FALSE,"B2_Open_A1"
"C4_2x2_A2",0.195317822165437,"Jul22","C4","2x2","A2","Enriched",FALSE,"C4_2x2_A2"
"C2_3x3_A1",0.861919592298164,"Jul22","C2","3x3","A1","Ambient",FALSE,"C2_3x3_A1"
"C2_3x3_A5",0.263379532694881,"Jul22","C2","3x3","A5","Ambient",FALSE,"C2_3x3_A5"
"B2_1x1_A13",0.0359843374980912,"Jul22","B2","1x1","A13","Ambient",FALSE,"B2_1x1_A13"
"B2_Open_A4",0.944193485963251,"Jul22","B2","Open","A4","Ambient",FALSE,"B2_Open_A4"
"B1_3x3_A1",0.013899801477074,"Jul22","B1","3x3","A1","Enriched",FALSE,"B1_3x3_A1"
"B1_Open_A5",0.0280254770858543,"Jul22","B1","Open","A5","Enriched",FALSE,"B1_Open_A5"
"B2_Open_A7",0.0680407231053096,"Jul22","B2","Open","A7","Ambient",FALSE,"B2_Open_A7"
"C2_3x3_A4",0.067697660470005,"Jul22","C2","3x3","A4","Ambient",FALSE,"C2_3x3_A4"
"B2_Open_A9",0.118506856029669,"Jul22","B2","Open","A9","Ambient",FALSE,"B2_Open_A9"
"B1_Open_A2",0.032673324786521,"Jul22","B1","Open","A2","Enriched",FALSE,"B1_Open_A2"
"B2_3x3_A6_2",0.0257058431018412,"Jul22","B2","3x3","A6_2","Ambient",FALSE,"B2_3x3_A6_2"
"B1_Open_A6",0.0277269055835019,"Jul22","B1","Open","A6","Enriched",FALSE,"B1_Open_A6"
"C2_3x3_A3",0.0566883263139994,"Jul22","C2","3x3","A3","Ambient",FALSE,"C2_3x3_A3"
"C2_2x2_A2_2",0.0487567602444357,"Jul22","C2","2x2","A2_2","Ambient",FALSE,"C2_2x2_A2_2"
"B2_Open_A2",0.975272390677626,"Jul22","B2","Open","A2","Ambient",FALSE,"B2_Open_A2"
"B2_2x2_A2",0.344838724851918,"Jul22","B2","2x2","A2","Ambient",FALSE,"B2_2x2_A2"
"B2_1x1_A16",0.499216495756419,"Jul22","B2","1x1","A16","Ambient",FALSE,"B2_1x1_A16"
