"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV665","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV665"
"ASV304","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV304"
"ASV32","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV32"
"ASV1079","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1079"
"ASV20","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV20"
"ASV1351","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1351"
"ASV470","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV470"
"ASV60","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV60"
"ASV325","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV325"
"ASV985","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV985"
"ASV35","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV35"
"ASV5","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV5"
"ASV1484","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1484"
"ASV37","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV37"
"ASV102","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV102"
"ASV30","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV30"
"ASV27","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV27"
"ASV88","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV88"
"ASV14","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV14"
"ASV40","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV40"
"ASV45","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV45"
"ASV19","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV19"
"ASV5584","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV5584"
"ASV862","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV862"
"ASV3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV3"
"ASV85","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV85"
"ASV512","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV512"
"ASV48","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV48"
"ASV22","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV22"
"ASV1070","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1070"
"ASV134","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV134"
"ASV796","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV796"
"ASV1100","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1100"
"ASV737","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV737"
"ASV26","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV26"
"ASV2091","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV2091"
"ASV428","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV428"
"ASV75","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV75"
"ASV240","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV240"
"ASV4372","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","NA","NA","NA","ASV4372"
"ASV1706","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1706"
"ASV175","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV175"
"ASV986","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV986"
"ASV1193","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1193"
"ASV55","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV55"
"ASV317","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV317"
"ASV936","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV936"
"ASV637","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV637"
"ASV86","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV86"
"ASV119","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV119"
"ASV67","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV67"
"ASV23","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV23"
"ASV139","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV139"
"ASV16","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV16"
"ASV733","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV733"
"ASV4","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","acroporae","ASV4"
"ASV4595","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","atrinae","ASV4595"
"ASV274","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV274"
"ASV1323","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1323"
"ASV4174","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","NA","NA","ASV4174"
"ASV430","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","NA","NA","ASV430"
"ASV1755","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella","NA","ASV1755"
"ASV1042","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella","NA","ASV1042"
"ASV1110","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella","NA","ASV1110"
"ASV2222","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","NA","NA","ASV2222"
"ASV1941","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","NA","NA","ASV1941"
"ASV4089","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","NA","NA","ASV4089"
"ASV4380","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","NA","NA","ASV4380"
