"","Distance_to_centroid","date","cage","herbivory","coral","treatment","is.neg","Samples"
"C4_2x2_A11",0.0782755680500687,"Jul22","C4","2x2","A11","Enriched",FALSE,"C4_2x2_A11"
"C4_1x1_A10",0.0453313075042423,"Jul22","C4","1x1","A10","Enriched",FALSE,"C4_1x1_A10"
"C4_1x1_A6",0.23301124532702,"Jul22","C4","1x1","A6","Enriched",FALSE,"C4_1x1_A6"
"D3_Open_A1",0.699361293975719,"Jul22","D3","Open","A1","Enriched",FALSE,"D3_Open_A1"
"D3_1x1_A2",0.0706890959036026,"Jul22","D3","1x1","A2","Enriched",FALSE,"D3_1x1_A2"
"D3_Open_A12",0.813773409325847,"Jul22","D3","Open","A12","Enriched",FALSE,"D3_Open_A12"
"D3_Open_A14",0.0927885106416034,"Jul22","D3","Open","A14","Enriched",FALSE,"D3_Open_A14"
"D3_1x1_A1",0.0653020135030209,"Jul22","D3","1x1","A1","Enriched",FALSE,"D3_1x1_A1"
"D3_2x2_A5",0.112595947274493,"Jul22","D3","2x2","A5","Enriched",FALSE,"D3_2x2_A5"
"D3_3x3_A2",0.0439018043039973,"Jul22","D3","3x3","A2","Enriched",FALSE,"D3_3x3_A2"
"D3_1x1_A5",0.141369358868648,"Jul22","D3","1x1","A5","Enriched",FALSE,"D3_1x1_A5"
"D3_1x1_A6",0.104301391817189,"Jul22","D3","1x1","A6","Enriched",FALSE,"D3_1x1_A6"
"D3_1x1_A11",0.155437289305796,"Jul22","D3","1x1","A11","Enriched",FALSE,"D3_1x1_A11"
"C4_1x1_A11",0.105159254242501,"Jul22","C4","1x1","A11","Enriched",FALSE,"C4_1x1_A11"
"C4_1x1_A2",0.0580421271286551,"Jul22","C4","1x1","A2","Enriched",FALSE,"C4_1x1_A2"
"C4_2x2_A7",0.0860980250350504,"Jul22","C4","2x2","A7","Enriched",FALSE,"C4_2x2_A7"
"C4_3x3_A5",0.0353622176108553,"Jul22","C4","3x3","A5","Enriched",FALSE,"C4_3x3_A5"
"C4_2x2_A14",0.112065172852862,"Jul22","C4","2x2","A14","Enriched",FALSE,"C4_2x2_A14"
"C4_2x2_A6",0.319452956841186,"Jul22","C4","2x2","A6","Enriched",FALSE,"C4_2x2_A6"
"C4_Open_A4",0.0590211513684932,"Jul22","C4","Open","A4","Enriched",FALSE,"C4_Open_A4"
"C4_1x1_A4",0.042931983401785,"Jul22","C4","1x1","A4","Enriched",FALSE,"C4_1x1_A4"
"D3_Open_A11",0.0581421366773222,"Jul22","D3","Open","A11","Enriched",FALSE,"D3_Open_A11"
"C4_3x3_A3",0.0437908790592337,"Jul22","C4","3x3","A3","Enriched",FALSE,"C4_3x3_A3"
"D3_2x2_A1",0.110934587161546,"Jul22","D3","2x2","A1","Enriched",FALSE,"D3_2x2_A1"
"D3_1x1_A9",0.0581284420970427,"Jul22","D3","1x1","A9","Enriched",FALSE,"D3_1x1_A9"
"D3_1x1_A12",0.0512898648803612,"Jul22","D3","1x1","A12","Enriched",FALSE,"D3_1x1_A12"
"D3_Open_A4",0.172933754319819,"Jul22","D3","Open","A4","Enriched",FALSE,"D3_Open_A4"
"C4_Open_A5",0.088020449817248,"Jul22","C4","Open","A5","Enriched",FALSE,"C4_Open_A5"
"D3_Open_A10",0.114681229726199,"Jul22","D3","Open","A10","Enriched",FALSE,"D3_Open_A10"
"D3_Open_A7",0.0595735858982768,"Jul22","D3","Open","A7","Enriched",FALSE,"D3_Open_A7"
"D3_3x3_A4",0.023946524580145,"Jul22","D3","3x3","A4","Enriched",FALSE,"D3_3x3_A4"
"D3_3x3_A5",0.0432743654580801,"Jul22","D3","3x3","A5","Enriched",FALSE,"D3_3x3_A5"
"C4_Open_A6",0.0516723693452096,"Jul22","C4","Open","A6","Enriched",FALSE,"C4_Open_A6"
"C4_Open_A1",0.0685010068013352,"Jul22","C4","Open","A1","Enriched",FALSE,"C4_Open_A1"
