"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV6054","Bacteria","Sva0485","Sva0485 Phylum","Sva0485 Phylum","Sva0485 Phylum",NA,NA,NA
"ASV4271","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae",NA,NA,NA
"ASV1412","Bacteria","Deinococcota","Deinococci","Deinococcales","Trueperaceae",NA,NA,NA
"ASV2619","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae",NA,NA,NA
"ASV128","Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae",NA,NA,NA
"ASV1536","Bacteria","Acetothermia","Acetothermiia","Acetothermiia Class","Acetothermiia Class",NA,NA,NA
"ASV111","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA
"ASV3020","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae",NA,NA,NA
"ASV1422","Bacteria","Marinimicrobia (SAR406 clade)","Marinimicrobia (SAR406 clade) Phylum","Marinimicrobia (SAR406 clade) Phylum","Marinimicrobia (SAR406 clade) Phylum",NA,NA,NA
"ASV61","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria Class","Alphaproteobacteria Class",NA,NA,NA
"ASV5767","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria","Candidatus Peribacteria Order",NA,NA,NA
"ASV3481","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22","JGI 0000069-P22 Order",NA,NA,NA
"ASV107","Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria Class","Gracilibacteria Class",NA,NA,NA
"ASV2761","Bacteria","Patescibacteria","Parcubacteria","Parcubacteria Class","Parcubacteria Class",NA,NA,NA
"ASV4302","Bacteria","Patescibacteria","ABY1","Candidatus Falkowbacteria","Candidatus Falkowbacteria Order",NA,NA,NA
"ASV2203","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1) Order",NA,NA,NA
"ASV3627","Archaea","Altiarchaeota","Altiarchaeia","Altiarchaeales","Altiarchaeaceae",NA,NA,NA
"ASV4296","Archaea","Thermoplasmatota","Thermoplasmatota Phylum","Thermoplasmatota Phylum","Thermoplasmatota Phylum",NA,NA,NA
"ASV439","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group III","Marine Group III Order",NA,NA,NA
"ASV1047","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II","Marine Group II Order",NA,NA,NA
"ASV2112","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae",NA,NA,NA
"ASV964","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC AAA011-D5",NA,NA,NA
"ASV334","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales Order",NA,NA,NA
"ASV841","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae",NA,NA,NA
"ASV98","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC AAA286-E23",NA,NA,NA
"ASV523","Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade","SAR202 clade Order",NA,NA,NA
