"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV530","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae",NA,NA,NA
"ASV2996","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae",NA,NA,NA
"ASV445","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,NA,NA
"ASV5271","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","NA",NA,NA,NA
"ASV453","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","NA",NA,NA,NA
"ASV5350","Bacteria","MBNT15","NA","NA","NA",NA,NA,NA
"ASV5762","Bacteria","Myxococcota","NA","NA","NA",NA,NA,NA
"ASV2049","Bacteria","Desulfobacterota","NA","NA","NA",NA,NA,NA
"ASV1634","Bacteria","WPS-2","NA","NA","NA",NA,NA,NA
"ASV1412","Bacteria","Deinococcota","Deinococci","Deinococcales","Trueperaceae",NA,NA,NA
"ASV4126","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae",NA,NA,NA
"ASV128","Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae",NA,NA,NA
"ASV1536","Bacteria","Acetothermia","Acetothermiia","NA","NA",NA,NA,NA
"ASV111","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA
"ASV3020","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae",NA,NA,NA
"ASV279","Bacteria","Marinimicrobia (SAR406 clade)","NA","NA","NA",NA,NA,NA
"ASV61","Bacteria","Proteobacteria","Alphaproteobacteria","NA","NA",NA,NA,NA
"ASV2609","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria","NA",NA,NA,NA
"ASV3204","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22","NA",NA,NA,NA
"ASV107","Bacteria","Patescibacteria","Gracilibacteria","NA","NA",NA,NA,NA
"ASV2761","Bacteria","Patescibacteria","Parcubacteria","NA","NA",NA,NA,NA
"ASV4302","Bacteria","Patescibacteria","ABY1","Candidatus Falkowbacteria","NA",NA,NA,NA
"ASV2203","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","NA",NA,NA,NA
"ASV6985","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA,NA
"ASV4296","Archaea","Thermoplasmatota","NA","NA","NA",NA,NA,NA
"ASV439","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group III","NA",NA,NA,NA
"ASV1047","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II","NA",NA,NA,NA
"ASV2112","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae",NA,NA,NA
"ASV964","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC AAA011-D5",NA,NA,NA
"ASV334","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","NA",NA,NA,NA
